id,problem_name,link,difficulty,pattern
123,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Medium,
124,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,Medium,
125,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Medium,
126,Same Tree,https://leetcode.com/problems/same-tree,Easy,
127,Path Sum,https://leetcode.com/problems/path-sum,Easy,
128,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,Easy,
129,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,Easy,
130,Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees,Easy,
131,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Medium,
132,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,Easy,
133,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,Easy,
134,Path Sum II,https://leetcode.com/problems/path-sum-ii,Medium,
135,Path Sum III,https://leetcode.com/problems/path-sum-iii,Medium,
136,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Medium,
137,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,Medium,
138,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,Medium,
139,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium,
140,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,Medium,
141,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,Medium,
142,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,Hard,
143,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Hard,
144,Word Search II,https://leetcode.com/problems/word-search-ii,Hard,
145,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,Hard,
146,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,Hard,
147,Two Sum,https://leetcode.com/problems/two-sum,Easy,
148,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,Easy,
149,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,Easy,
150,3Sum,https://leetcode.com/problems/3sum,Medium,
151,3Sum Closest,https://leetcode.com/problems/3sum-closest,Medium,
152,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k,Medium,
153,Sort Colors,https://leetcode.com/problems/sort-colors,Medium,
154,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,Hard,
155,Container With Most Water,https://leetcode.com/problems/container-with-most-water,Medium,
156,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary,Medium,
157,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string,Easy,
158,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,Medium,
159,Concatenated Words,https://leetcode.com/problems/concatenated-words,Hard,
160,Prefix and Suffix Search,https://leetcode.com/problems/prefix-and-suffix-search,Hard,
161,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs,Hard,
162,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system,Hard,
163,Word Squares,https://leetcode.com/problems/word-squares,Hard,
164,Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,Hard,
165,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,Hard,
166,Majority Element,https://leetcode.com/problems/majority-element,Easy,
167,Convert 1D Array Into 2D Array,https://leetcode.com/problems/convert-1d-array-into-2d-array,Easy,
168,Move Zeroes,https://leetcode.com/problems/move-zeroes,Easy,
169,Is Subsequence,https://leetcode.com/problems/is-subsequence,Easy,
170,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,Easy,
171,Factor Combinations,https://leetcode.com/problems/factor-combinations,Medium,
172,Split a String Into the Max Number of Unique Substrings,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings,Medium,
173,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,Easy,
